ID,Federation,Form.Fed,Transfer Date,World Rank,National Rank,Name,Title,Rating
2019221,USA,PHI,12/15/00,4181.0,247.0,"Cusi, Ronald",FIDE Master,2369.0
14401754,BIH,CRO,1/31/00,7805.0,137.0,"Hrvacic, Pavle",FIDE Master,2201.0
14401762,BIH,YUG,1/31/00,8524.0,271.0,"Suljovic, Sulejman",FIDE Master,2188.0
6700284,ESA,HON,11/15/01,7395.0,4.0,"Arias, Lemnys A.",International Master,2210.0
1613782,AUT,ISR,7/9/01,834.0,6.0,"Beim, Valeri",Grandmaster,2504.0
2600536,AUS,CAN,11/9/01,15329.0,79.0,"Dauvergne, Peter",,2232.0
2603977,CAN,YUG,5/25/01,6912.0,53.0,"Divljan, Igor",FIDE Master,2221.0
2019523,USA,AZE,3/30/01,40126.0,1725.0,"Eynullaeva, Elnara",,2099.0
2603985,CAN,ENG,5/25/01,53423.0,469.0,"Fairbairn, Stephen",,2049.0
4682084,ITA,GER,9/12/01,21437.0,550.0,"Fiori, Bruno",,2026.0
2209381,PAR,ESP,12/10/01,1020.0,4.0,"Franco Ocampos, Zenon",Grandmaster,2457.0
13601105,USA,GEO,2/13/01,10315.0,540.0,"Goletiani, Rusudan",International Master Woman Grandmaster,2278.0
2604019,CAN,YUG,6/9/01,17171.0,177.0,"Ivankovic, Goran",FIDE Master,2219.0
933511,YUG,BEL,2/7/01,23625.0,295.0,"Micic, Snezana",Woman FIDE Master,2008.0
3405400,CHI,CRO,6/13/01,669.0,2.0,"Morovic Fernandez, Ivan",Grandmaster,2495.0
4154142,UKR,RUS,1/23/01,49565.0,7220.0,"Kneita, Arunas",,2063.0
14900440,SVK,LBN,7/5/01,3513.0,36.0,"Repkova, Eva",International Master Woman Grandmaster,2319.0
4168267,RUS,UZB,2/3/01,18219.0,3089.0,"Sadriev, Tagir",,2212.0
4148932,UKR,RUS,10/25/01,62685.0,7992.0,"Shalnyeva, Olga",Woman Intl. Master,2019.0
1308181,SUI,AUT,5/20/01,76359.0,775.0,"Ziltener, Werner",,1985.0
13301918,USA,ARM,3/5/02,4027.0,174.0,"Abrahamyan, Tatev",Woman Grandmaster,2301.0
13300580,USA,ARM,3/7/02,283.0,24.0,"Akobian, Varuzhan",Grandmaster,2571.0
14102463,BUL,UKR,3/4/02,2265.0,71.0,"Alexandrova, Olga",International Master Woman Grandmaster,2420.0
13300105,USA,ARM,3/5/02,2300.0,148.0,"Ambartsoumian, Armen",International Master,2419.0
5400082,FRA,MNC,3/4/02,40238.0,2231.0,"Bizat, Michel",,1923.0
621790,ESP,FRA,8/7/02,32200.0,1401.0,"Bruned, Boris",Candidate Master,2133.0
4149610,GER,RUS,6/15/02,1886.0,144.0,"Degtiarev, Evgeny",International Master,2394.0
919101,YUG,CAN,3/4/02,29880.0,292.0,"Djerkovic, Miladin",,2144.0
4110706,GER,RUS,11/10/02,73523.0,9450.0,"Donchenko, Irina",,1990.0
1206508,ESP,ROM,5/17/02,24179.0,1941.0,"Draghici Flutur, Gavril",,2003.0
406457,JCI,ENG,7/24/02,16239.0,1.0,"Farrand, Tom",,2079.0
1206303,ROM,CAN,3/4/02,32833.0,313.0,"Geaman, Horia",,2130.0
2904276,MKD,BUL,4/23/02,3234.0,42.0,"Georgiev, Veselin",International Master,2392.0
2212552,HON,ESP,8/26/02,34570.0,22.0,"Huguet, Sergio",FIDE Master,1948.0
933953,YUG,CAN,3/4/02,48407.0,432.0,"Kagramanov, Dina",Woman Intl. Master,2067.0
4143973,UKR,RUS,8/10/02,10760.0,469.0,"Kovtun, Sergei",International Master,2273.0
14905361,CAN,SVK,5/25/02,1283.0,11.0,"Krnan, Tomas",International Master,2433.0
2501031,ENG,IRL,1/18/02,22653.0,356.0,"Mackenzie, Colin",,2016.0
310204,SVK,YUG,6/15/02,139.0,6.0,"Movsesian, Sergei",Grandmaster,2618.0
4152417,UKR,RUS,6/10/02,280.0,13.0,"Oleksiyenko, Mykhaylo",Grandmaster,2572.0
4105745,USA,RUS,6/7/02,3478.0,213.0,"Perelshteyn, Mikhail",FIDE Master,2386.0
14400375,GER,BIH,6/7/02,2310.0,144.0,"Pezerovic, Edin",International Master,2419.0
8601640,CAN,USA,5/20/02,1968.0,18.0,"Quan, Zhe",International Master,2432.0
5200156,USA,PHI,3/5/02,3426.0,155.0,"Sevillano, Enrico",Grandmaster,2323.0
14103826,USA,UKR,5/15/02,22997.0,1121.0,"Shiber, Julia",Woman FIDE Master,2182.0
13900145,FRA,MDA,1/5/02,2039.0,89.0,"Skripchenko, Almira",International Master Woman Grandmaster,2386.0
11800097,AUT,SMR,3/5/02,29212.0,706.0,"Thoeny, Hermann",,1975.0
2803089,CAN,ISR,9/15/02,1591.0,13.0,"Tyomkin, Dimitri",Grandmaster,2411.0
8100977,MAR,JOR,4/3/03,2957.0,4.0,"Ali, Sebbar",International Master,2400.0
14100878,FRA,UKR,3/15/03,23309.0,1184.0,"Schweitzer, Victoria",Woman Intl. Master,2010.0
3501728,USA,CUB,5/7/03,1571.0,78.0,"Becerra Rivero, Julio",Grandmaster,2412.0
12802212,USA,LTU,9/6/03,1659.0,112.0,"Bercys, Salvijus",International Master,2447.0
401374,JAP,ENG,6/9/03,12662.0,10.0,"Bibby, Simon",FIDE Master,2123.0
1902334,ECU,POR,2/3/03,30717.0,69.0,"Chang Suarez, Rommel",,2140.0
3501868,ESP,CUB,8/25/03,18923.0,739.0,"Delgado Crespo, Mairelys",Woman Grandmaster,2207.0
2900262,AUT,BUL,9/29/03,9108.0,100.0,"Donev, Ivo",International Master,2291.0
2900106,PLE,BUL,10/3/03,4266.0,38.0,"Ermenkov, Evgenij",Grandmaster,2293.0
14501570,YUG,CRO,5/28/03,4579.0,95.0,"Jovanovic, Sasa D",FIDE Master,2360.0
14109042,GER,RUS,3/15/03,24807.0,3154.0,"Kopylov, Luba",Woman Intl. Master,1999.0
1404679,ISL,DEN,12/6/03,10072.0,51.0,"Kristinsson, Baldur",,2161.0
4629400,AUT,GER,10/16/03,17321.0,201.0,"Lickleder, Andreas",,2218.0
13300512,USA,ARM,2/19/03,1323.0,68.0,"Khachiyan, Melikset",Grandmaster,2430.0
4142217,CZE,RUS,9/3/03,11670.0,218.0,"Mikouev, Erendzen",,2264.0
4183150,ITA,RUS,3/18/03,115687.0,2691.0,"Nazarova, Olga",,1916.0
910775,AUS,YUG,4/29/03,38457.0,188.0,"Sarai, Slavica",Woman FIDE Master,2106.0
4300475,AUS,NZL,3/20/03,5606.0,22.0,"Scott, Ronald",,2253.0
14400596,GER,BIH,8/25/03,5252.0,144.0,"Solomunovic, Igor",International Master,2263.0
13501151,AUS,BLR,9/19/03,21071.0,103.0,"Sorokina, Anastasia",Woman Intl. Master,2194.0
13601040,GER,GEO,12/6/03,6653.0,694.0,"Tammert, Iamze",Woman Intl. Master,2228.0
900060,ESP,YUG,11/28/03,3149.0,115.0,"Todorcevic Antic, Miodrag",Grandmaster,2395.0
1902237,ECU,POR,2/3/03,39483.0,99.0,"Valencia Martin, German",,2102.0
14508630,AUT,CRO,12/26/03,10688.0,211.0,"Vrban, Damir",,2151.0
724351,RUS,ISR,9/25/03,6717.0,1140.0,"Zimmerman, Yuri",International Master,2321.0
11601230,RUS,LAT,6/29/04,7268.0,1273.0,"Aleksandrov, Sergei",,2313.0
13300474,ARM,GER,5/14/04,22.0,5.0,"Aronian, Levon",Grandmaster,2729.0
2806770,CAN,ISR,6/26/04,59649.0,522.0,"Barron, Irina",Woman FIDE Master,2028.0
4695330,LIE,GER,7/28/04,8539.0,1.0,"Ferster, Fabian",,2187.0
2900017,BUL,MKD,9/30/04,397.0,1.0,"Georgiev, Kiril",Grandmaster,2545.0
1310364,FRA,SUI,11/15/04,35305.0,1181.0,"Gross, Sebastien",,2119.0
5300363,PLE,LBN,4/14/04,1451.0,96.0,"Sammour-Hasbun, Jorge",FIDE Master,2458.0
2022656,JPN,USA,2/9/04,20081.0,15.0,"Katsuhara, Osamu",,2200.0
4127390,GER,RUS,8/31/04,27747.0,3178.0,"Konson, Konstantin",,2155.0
14901510,BER,SVK,6/29/04,61974.0,6.0,"Kovacova, Zuzana",Woman FIDE Master,2021.0
4109562,GER,RUS,3/23/04,28517.0,3283.0,"Ljubarskaja, Ludmilla",,2151.0
13300610,RUS,ARM,1/6/04,58570.0,292.0,"Movsisyan, Naira",Woman Grandmaster,2032.0
14111330,SLO,UKR,6/30/04,605.0,26.0,"Muzychuk, Anna",Grandmaster Woman Grandmaster,2505.0
14100657,GER,UKR,8/31/04,27374.0,3127.0,"Ousatchi, Mark",FIDE Master,2157.0
3501841,USA,CUB,3/17/04,1898.0,126.0,"Gonzalez, Renier",Grandmaster,2435.0
13500996,SWE,BLR,2/17/04,12287.0,252.0,"Tetenkina, Irina",Woman Intl. Master,2128.0
13400584,RUS,AZE,1/22/04,44935.0,6704.0,"Veliev, Gasan",FIDE Master,2080.0
3501566,MEX,CUB,6/6/05,9645.0,48.0,"Blanco Fernandez, Alvaro",International Master,2167.0
7600542,PLE,SYR,12/14/05,35946.0,3.0,"Asaad, Salah",FIDE Master,2116.0
14401487,TUR,BIH,9/5/05,1223.0,27.0,"Atalik, Suat",Grandmaster,2439.0
3501922,ESP,CUB,10/6/05,3737.0,201.0,"Castella Garcia, Fausto",FIDE Master,2311.0
102164,ESP,ARG,9/15/05,4495.0,244.0,"Del Rey, Diego",International Master,2285.0
14112990,USA,UKR,6/20/05,9056.0,475.0,"Kedyk, Dmitry",FIDE Master,2292.0
4400216,USA,COL,1/18/05,19767.0,997.0,"La Rota, Fabio",FIDE Master,2202.0
110124,ITA,ARG,12/13/05,1466.0,22.0,"Garcia Palermo, Carlos Horacio",Grandmaster,2419.0
200930,TUR,BEL,11/1/05,319.0,2.0,"Gurevich, Mikhail",Grandmaster,2562.0
14102471,GER,UKR,6/8/05,19926.0,2530.0,"Hess, Olena",Woman Intl. Master,2041.0
1131630,CAN,POL,6/18/05,13525.0,136.0,"Kaminski, Victor",,2247.0
935506,CRO,SCG,12/7/05,40462.0,824.0,"Knezevic, Jovan",,1922.0
644536,PLE,FRA,5/16/05,110417.0,4957.0,"Cocogne, Ludovic",,1924.0
927210,CRO,SCG,12/7/05,50215.0,1010.0,"Masirevic, Miroljub",,1882.0
4203380,SRB,GRE,10/5/05,723.0,11.0,"Miladinovic, Igor",Grandmaster,2489.0
7600437,JOR,SYR,6/15/05,3039.0,3.0,"Issa, Rafat",International Master,2338.0
103411,ESP,ARG,9/16/05,3786.0,136.0,"Saldano Dayer, Horacio",International Master,2378.0
13700928,GER,KAZ,1/18/05,24851.0,2768.0,"Shats, Valerij",,2171.0
14600390,CRO,SLO,12/7/05,17760.0,359.0,"Truta, Srecko",FIDE Master,2063.0
2024209,COL,USA,12/13/05,6911.0,31.0,"Tapia, Daniel",International Master,2318.0
4900839,USA,MGL,9/13/05,4801.0,19.0,"Batchimeg, Tuvshintugs",International Master Woman Grandmaster,2355.0
13300415,CAN,ARM,1/23/05,9327.0,72.0,"Voskanyan, Vahagn",FIDE Master,2173.0
13504185,FRA,BLR,9/13/05,16417.0,461.0,"Zharkov, Hleb",,2225.0
1401815,SCO,DEN,2/8/06,1366.0,13.0,"Aagaard, Jacob",Grandmaster,2426.0
13701010,SLO,KAZ,4/27/06,24579.0,170.0,"Bajt, Indira",Woman FIDE Master,2172.0
14906082,CZE,SVK,10/31/06,51591.0,2376.0,"Baran, Peter",,1877.0
3502783,ESP,COL,3/28/06,1634.0,72.0,"Cabrera, Alexis",Grandmaster,2409.0
112607,RUS,ARG,6/30/06,29790.0,4727.0,"Shcherbine, Andrei",,2145.0
1400185,ISL,DEN,3/25/06,909.0,6.0,"Danielsen, Henrik",Grandmaster,2469.0
14400421,CRO,SCG,12/7/06,7863.0,139.0,"Djeno, Drago",FIDE Master,2200.0
14400049,CRO,BIH,6/30/06,2835.0,42.0,"Dizdarevic, Emir",Grandmaster,2348.0
924911,CRO,SCG,10/31/06,36134.0,732.0,"Djuric, Milan",,1941.0
4500016,USA,EST,3/15/06,474.0,33.0,"Ehlvest, Jaan",Grandmaster,2528.0
1204173,USA,ROM,4/10/06,2275.0,146.0,"Florean, Andrei-Costel",International Master,2420.0
4109821,EST,RUS,4/10/06,22056.0,48.0,"Gansvind, Valeriya I.",Woman FIDE Master,2021.0
14401150,CRO,BIH,7/19/06,5869.0,103.0,"Glavas, Dragan",FIDE Master,2246.0
208078,FRA,BEL,2/15/06,2106.0,17.0,"Godart, Francois",International Master,2382.0
13300571,ENG,ARM,5/25/06,28746.0,455.0,"Grigoryan, Meri",Woman FIDE Master,1977.0
921076,CRO,SCG,12/7/06,84011.0,1035.0,"Grujin, Sinisa",,1970.0
12400149,HUN,VIE,3/28/06,2107.0,62.0,"Hoang, Thanh Trang",Grandmaster Woman Grandmaster,2382.0
907006,CRO,SCG,12/7/06,28693.0,336.0,"Jovanovic, Milenko",FIDE Master,2150.0
4148053,EST,RUS,4/10/06,2038.0,8.0,"Kalinichev, Andrey",FIDE Master,2429.0
4129776,KOR,RUS,4/15/06,1340.0,1.0,"Kim, Alexey",Grandmaster,2465.0
14400057,CRO,BIH,6/15/06,1300.0,17.0,"Kurajica, Bojan",Grandmaster,2431.0
14111268,GER,UKR,11/11/06,3504.0,300.0,"Lichmann, Peter",,2319.0
5200253,USA,PHI,10/10/06,7589.0,409.0,"Micayabas, Marlo",International Master,2309.0
924024,CRO,SCG,12/7/06,6976.0,122.0,"Markovic, Alen",,2220.0
4617592,CRO,GER,9/15/06,3837.0,65.0,"Muse, Drazen",International Master,2307.0
4600304,CRO,GER,4/15/06,2147.0,29.0,"Muse, Mladen",Grandmaster,2380.0
905399,CRO,SCG,12/7/06,6071.0,107.0,"Novakovic, Dragan",International Master,2241.0
14101289,FRA,UKR,3/22/06,4258.0,185.0,"Okhotnik, Vladimir",Grandmaster,2293.0
14900122,CZE,SVK,12/9/06,5324.0,159.0,"Priehoda, Vitezslav",International Master,2260.0
14109484,RUS,UKR,6/30/06,28067.0,981.0,"Raikin, Leonid",International Master,1980.0
14107503,USA,UKR,10/31/06,11361.0,583.0,"Rohonyan, Katerina",Woman Grandmaster,2267.0
2000733,FRA,USA,5/18/06,5198.0,236.0,"Shirazi, Kamran",International Master,2264.0
2019469,PLE,USA,10/30/06,11780.0,606.0,"Shivaji, Shivkuma",FIDE Master,2263.0
413003,KOR,ENG,5/29/06,109048.0,36.0,"Song, Jinwoo",FIDE Master,1927.0
13900285,LUX,MDA,6/30/06,5661.0,4.0,"Wagener, Anna",Woman Grandmaster,2251.0
4401328,PUR,COL,4/27/06,4777.0,1.0,"Velasco, Santiago",FIDE Master,2278.0
3800253,ESP,PER,5/26/06,9686.0,42.0,"Vidarte Morales, Arturo",International Master,2166.0
12501948,NOR,IRI,10/12/06,75142.0,497.0,"Khachatourian, Yerazik",,1987.0
8600546,QAT,CHI,4/27/06,2208.0,3.0,"Zhu, Chen",Grandmaster,2423.0
4132190,ITA,RUS,2/7/06,4308.0,64.0,"Zimina, Olga",International Master Woman Grandmaster,2291.0
4205707,CYP,GRE,7/18/07,48165.0,14.0,"Abatzidis, Stelios",,1890.0
12500283,IRI,FRA,1/25/07,2311.0,2.0,"Bagheri, Amir",Grandmaster,2372.0
14903059,CZE,SVK,10/10/07,16898.0,641.0,"Bakos, Eduard",,2072.0
